Details of Training:-----------------------
dataset: PhonemeSpectra
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_fedproto_dir0.3
PID: 856949
PPID: 856933
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedprotodataset: CharacterTrajectoriesdescription: har_fedproto_dir0.3federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falsefedproto:  lamda: 1.0logPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.9    wd: 0
dataset: PhonemeSpectraround:0 server aggregation  testACC:0.22696093050999105 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:1 server aggregation  testACC:0.23739934387116016 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:2 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:3 server aggregation  testACC:0.23531166119892633 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:4 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:5 server aggregation  testACC:0.2254697286012526 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:6 server aggregation  testACC:0.22278556516552342 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:7 server aggregation  testACC:0.22397852669251417 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:8 server aggregation  testACC:0.22517148821950492 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:9 server aggregation  testACC:0.22517148821950492 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:10 server aggregation  testACC:0.2257679689830003 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:11 server aggregation  testACC:0.2284521324187295 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:12 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:13 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:14 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:15 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:16 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:17 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:18 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:19 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:20 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:21 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:22 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:23 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:24 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:25 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:26 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:27 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:28 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:29 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:30 server aggregation  testACC:0.22994333432746794 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:31 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:32 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:33 server aggregation  testACC:0.2284521324187295 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:34 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:35 server aggregation  testACC:0.2281538920369818 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:36 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:37 server aggregation  testACC:0.22994333432746794 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:38 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:39 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:40 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:41 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:42 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:43 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:44 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:45 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:46 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:47 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:48 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:49 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:50 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:51 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:52 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:53 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:54 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:55 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:56 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:57 server aggregation  testACC:0.22934685356397255 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:58 server aggregation  testACC:0.2284521324187295 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:59 server aggregation  testACC:0.2278556516552341 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:60 server aggregation  testACC:0.2281538920369818 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:61 server aggregation  testACC:0.22904861318222489 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:62 server aggregation  testACC:0.2281538920369818 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:63 server aggregation  testACC:0.2278556516552341 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:64 server aggregation  testACC:0.2284521324187295 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:65 server aggregation  testACC:0.2284521324187295 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:66 server aggregation  testACC:0.2278556516552341 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:67 server aggregation  testACC:0.2287503728004772 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:68 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:69 server aggregation  testACC:0.22994333432746794 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:70 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:71 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:72 server aggregation  testACC:0.22964509394572025 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:73 server aggregation  testACC:0.23024157470921564 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:74 server aggregation  testACC:0.22994333432746794 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:75 server aggregation  testACC:0.23053981509096333 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:76 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:77 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:78 server aggregation  testACC:0.22994333432746794 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:79 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:80 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:81 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:82 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:83 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:84 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
