Details of Training:-----------------------
dataset: ERing
local train epochs:3
round num:1000
batch size:8
lr:0.05
isAllocateMat:False
isEMA:False
-------------------------------------------
ACFSTFT+allscale
PID:886826
PPID:885439
ablation:  UseACF: true  UseJointCL: true  UseJointKD: true  UseMTLHomo: false  UseProdictor: false  UseScaleCL: true  UseScaleKD: truedataset: ERingdescription: ACFSTFT+allscalefederated:  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 1000logPath: ./result/model:  name: ''  params:    batch_size: 8    dist_measure: cosine    l: 100    lr: 0.05    ls: 1    wd: 0
dataset: ERinground:0 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:1 server aggregation  testACC:0.9444444444444444trainACC:1.0 avg_loss:nan
dataset: ERinground:2 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:3 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:4 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:5 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:6 server aggregation  testACC:0.9592592592592593trainACC:1.0 avg_loss:nan
dataset: ERinground:7 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:8 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:9 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:10 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:11 server aggregation  testACC:0.9592592592592593trainACC:1.0 avg_loss:nan
dataset: ERinground:12 server aggregation  testACC:0.9592592592592593trainACC:1.0 avg_loss:nan
dataset: ERinground:13 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:14 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:15 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:16 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:17 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:18 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:19 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:20 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:21 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:22 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:23 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:24 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:25 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:26 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:27 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:28 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:29 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:30 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:31 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:32 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:33 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:34 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:35 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:36 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:37 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:38 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:39 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:40 server aggregation  testACC:0.9555555555555556trainACC:1.0 avg_loss:nan
dataset: ERinground:41 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:42 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:43 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:44 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:45 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:46 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:47 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:48 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:49 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:50 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:51 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:52 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
dataset: ERinground:53 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:54 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:55 server aggregation  testACC:0.9481481481481482trainACC:1.0 avg_loss:nan
dataset: ERinground:56 server aggregation  testACC:0.9518518518518518trainACC:1.0 avg_loss:nan
