Details of Training:-----------------------
dataset: LSST
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_scaffold_dir1.0
PID: 2215366
PPID: 2215362
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: har_scaffold_dir1.0federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: LSSTround:0 server aggregation  testACC:0.6034063260340633 trainACC:1.0 avg_loss:nan
dataset: LSSTround:1 server aggregation  testACC:0.5969180859691808 trainACC:1.0 avg_loss:nan
dataset: LSSTround:2 server aggregation  testACC:0.6046228710462287 trainACC:1.0 avg_loss:nan
dataset: LSSTround:3 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:4 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:5 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:6 server aggregation  testACC:0.5948905109489051 trainACC:1.0 avg_loss:nan
dataset: LSSTround:7 server aggregation  testACC:0.597323600973236 trainACC:1.0 avg_loss:nan
dataset: LSSTround:8 server aggregation  testACC:0.5957015409570154 trainACC:1.0 avg_loss:nan
dataset: LSSTround:9 server aggregation  testACC:0.5884022708840227 trainACC:1.0 avg_loss:nan
dataset: LSSTround:10 server aggregation  testACC:0.5843471208434712 trainACC:1.0 avg_loss:nan
dataset: LSSTround:11 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:12 server aggregation  testACC:0.5957015409570154 trainACC:1.0 avg_loss:nan
dataset: LSSTround:13 server aggregation  testACC:0.5884022708840227 trainACC:1.0 avg_loss:nan
dataset: LSSTround:14 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:15 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:16 server aggregation  testACC:0.5957015409570154 trainACC:1.0 avg_loss:nan
dataset: LSSTround:17 server aggregation  testACC:0.5965125709651257 trainACC:1.0 avg_loss:nan
dataset: LSSTround:18 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:19 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:20 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:21 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:22 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:23 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:24 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:25 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:26 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:27 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:28 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:29 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:30 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:31 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:32 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:33 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:34 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:35 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:36 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:37 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:38 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:39 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:40 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:41 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:42 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:43 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:44 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:45 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:46 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:47 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:48 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:49 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:50 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:51 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:52 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:53 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:54 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:55 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:56 server aggregation  testACC:0.5948905109489051 trainACC:1.0 avg_loss:nan
dataset: LSSTround:57 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:58 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:59 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:60 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:61 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:62 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:63 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:64 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:65 server aggregation  testACC:0.5948905109489051 trainACC:1.0 avg_loss:nan
dataset: LSSTround:66 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:67 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:68 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:69 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:70 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:71 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:72 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:73 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:74 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:75 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:76 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:77 server aggregation  testACC:0.5948905109489051 trainACC:1.0 avg_loss:nan
dataset: LSSTround:78 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:79 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:80 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:81 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:82 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:83 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:84 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:85 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:86 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:87 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:88 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:89 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:90 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:91 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:92 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:93 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:94 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:95 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:96 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:97 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:98 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:99 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:100 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:101 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:102 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:103 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:104 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:105 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:106 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:107 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:108 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:109 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:110 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:111 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:112 server aggregation  testACC:0.5944849959448499 trainACC:1.0 avg_loss:nan
dataset: LSSTround:113 server aggregation  testACC:0.5940794809407948 trainACC:1.0 avg_loss:nan
dataset: LSSTround:114 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:115 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:116 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:117 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:118 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:119 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:120 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:121 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:122 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:123 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:124 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:125 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:126 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:127 server aggregation  testACC:0.5928629359286294 trainACC:1.0 avg_loss:nan
dataset: LSSTround:128 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:129 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:130 server aggregation  testACC:0.5932684509326845 trainACC:1.0 avg_loss:nan
dataset: LSSTround:131 server aggregation  testACC:0.5936739659367397 trainACC:1.0 avg_loss:nan
dataset: LSSTround:132 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:133 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:134 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:135 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:136 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:137 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:138 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:139 server aggregation  testACC:0.5924574209245742 trainACC:1.0 avg_loss:nan
dataset: LSSTround:140 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:141 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:142 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:143 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:144 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:145 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:146 server aggregation  testACC:0.5916463909164639 trainACC:1.0 avg_loss:nan
dataset: LSSTround:147 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:148 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:149 server aggregation  testACC:0.5908353609083536 trainACC:1.0 avg_loss:nan
dataset: LSSTround:150 server aggregation  testACC:0.5912408759124088 trainACC:1.0 avg_loss:nan
dataset: LSSTround:151 server aggregation  testACC:0.592051905920519 trainACC:1.0 avg_loss:nan
dataset: LSSTround:152 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:153 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:154 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:155 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:156 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:157 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:158 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:159 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:160 server aggregation  testACC:0.5884022708840227 trainACC:1.0 avg_loss:nan
dataset: LSSTround:161 server aggregation  testACC:0.5884022708840227 trainACC:1.0 avg_loss:nan
dataset: LSSTround:162 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:163 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:164 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:165 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:166 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:167 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:168 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:169 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:170 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:171 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:172 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:173 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:174 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:175 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:176 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:177 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:178 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:179 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:180 server aggregation  testACC:0.5888077858880778 trainACC:1.0 avg_loss:nan
dataset: LSSTround:181 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:182 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:183 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:184 server aggregation  testACC:0.589213300892133 trainACC:1.0 avg_loss:nan
dataset: LSSTround:185 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:186 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:187 server aggregation  testACC:0.5896188158961881 trainACC:1.0 avg_loss:nan
dataset: LSSTround:188 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:189 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:190 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:191 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
dataset: LSSTround:192 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:193 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:194 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:195 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:196 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:197 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:198 server aggregation  testACC:0.5904298459042985 trainACC:1.0 avg_loss:nan
dataset: LSSTround:199 server aggregation  testACC:0.5900243309002433 trainACC:1.0 avg_loss:nan
