Details of Training:-----------------------
dataset: SpokenArabicDigits
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_scaffold_dir0.05
PID: 1681576
PPID: 1681571
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: har_scaffold_dir0.05federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: SpokenArabicDigitsround:0 server aggregation  testACC:0.979081400636653 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:1 server aggregation  testACC:0.9854479308776717 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:2 server aggregation  testACC:0.98681218735789 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:3 server aggregation  testACC:0.98681218735789 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:4 server aggregation  testACC:0.9859026830377444 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:5 server aggregation  testACC:0.988631195998181 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:6 server aggregation  testACC:0.9890859481582538 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:7 server aggregation  testACC:0.9895407003183265 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:8 server aggregation  testACC:0.9899954524783993 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:9 server aggregation  testACC:0.9895407003183265 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:10 server aggregation  testACC:0.9899954524783993 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:11 server aggregation  testACC:0.9899954524783993 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:12 server aggregation  testACC:0.9913597089586176 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:13 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:14 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:15 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:16 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:17 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:18 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:19 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:20 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:21 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:22 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:23 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:24 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:25 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:26 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:27 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:28 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:29 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:30 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:31 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:32 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:33 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:34 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:35 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:36 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:37 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:38 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:39 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:40 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:41 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:42 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:43 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:44 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:45 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:46 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:47 server aggregation  testACC:0.992269213278763 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:48 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:49 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:50 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:51 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:52 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:53 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:54 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:55 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:56 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:57 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:58 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:59 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:60 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:61 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:62 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:63 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:64 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:65 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:66 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:67 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:68 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:69 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:70 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:71 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:72 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:73 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:74 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:75 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:76 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:77 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:78 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:79 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
